>>> Training text translator configs...
d_model: 512
n_layers: 6
n_heads: 8
d_ff: 2048
max_len: 256
dropout: 0.1
batch_size: 128
epochs: 10
warmup: 100
init_lr: 1e-05
factor: 0.9
adam_eps: 5e-09
patience: 10
clip: 1.0
weight_decay: 0.0005
gpu_id: 0
src_mode: en
tgt_mode: de
data_path: ./data/multi30k/task1/raw/
>>> Loading the dataset...
>>> Loading the dataset... Done! <<<
>>> Building the transformer model...
>>> trainable parameters: 69384975 trainable parameters size: 264.682674407959 MB <<<
>>> Building the transformer model... Done! <<<
>>> Building the optimizer, scheduler and criterion...
>>> Building the optimizer, scheduler and criterion... Done! <<<
[Step: 1/227 | Batch Loss: 10.9331 | Batch Time: 0.38s | Elapsed Time: 0.39s | Estimated Remaining Time: 0h 1m 25s]
[Step: 2/227 | Batch Loss: 10.6476 | Batch Time: 0.08s | Elapsed Time: 0.47s | Estimated Remaining Time: 0h 0m 17s]
[Step: 3/227 | Batch Loss: 10.3820 | Batch Time: 0.08s | Elapsed Time: 0.55s | Estimated Remaining Time: 0h 0m 17s]
[Step: 4/227 | Batch Loss: 10.1264 | Batch Time: 0.08s | Elapsed Time: 0.64s | Estimated Remaining Time: 0h 0m 17s]
[Step: 5/227 | Batch Loss: 9.9452 | Batch Time: 0.08s | Elapsed Time: 0.72s | Estimated Remaining Time: 0h 0m 18s]
[Step: 6/227 | Batch Loss: 9.6808 | Batch Time: 0.08s | Elapsed Time: 0.81s | Estimated Remaining Time: 0h 0m 18s]
[Step: 7/227 | Batch Loss: 9.5499 | Batch Time: 0.07s | Elapsed Time: 0.89s | Estimated Remaining Time: 0h 0m 16s]
[Step: 8/227 | Batch Loss: 9.3124 | Batch Time: 0.07s | Elapsed Time: 0.97s | Estimated Remaining Time: 0h 0m 16s]
[Step: 9/227 | Batch Loss: 9.1368 | Batch Time: 0.07s | Elapsed Time: 1.05s | Estimated Remaining Time: 0h 0m 16s]
[Step: 10/227 | Batch Loss: 8.8954 | Batch Time: 0.08s | Elapsed Time: 1.14s | Estimated Remaining Time: 0h 0m 16s]
[Step: 11/227 | Batch Loss: 8.8959 | Batch Time: 0.08s | Elapsed Time: 1.22s | Estimated Remaining Time: 0h 0m 17s]
[Step: 12/227 | Batch Loss: 8.6942 | Batch Time: 0.09s | Elapsed Time: 1.32s | Estimated Remaining Time: 0h 0m 19s]
[Step: 13/227 | Batch Loss: 8.6211 | Batch Time: 0.07s | Elapsed Time: 1.40s | Estimated Remaining Time: 0h 0m 15s]
[Step: 14/227 | Batch Loss: 8.4879 | Batch Time: 0.08s | Elapsed Time: 1.48s | Estimated Remaining Time: 0h 0m 16s]
[Step: 15/227 | Batch Loss: 8.4663 | Batch Time: 0.08s | Elapsed Time: 1.57s | Estimated Remaining Time: 0h 0m 17s]
[Step: 16/227 | Batch Loss: 8.3939 | Batch Time: 0.08s | Elapsed Time: 1.65s | Estimated Remaining Time: 0h 0m 16s]
[Step: 17/227 | Batch Loss: 8.2884 | Batch Time: 0.08s | Elapsed Time: 1.73s | Estimated Remaining Time: 0h 0m 16s]
[Step: 18/227 | Batch Loss: 8.2180 | Batch Time: 0.09s | Elapsed Time: 1.83s | Estimated Remaining Time: 0h 0m 18s]
[Step: 19/227 | Batch Loss: 8.1476 | Batch Time: 0.09s | Elapsed Time: 1.92s | Estimated Remaining Time: 0h 0m 18s]
